Node:2 | Msg:From:1 | PTZL is working on it | count:1 | RSSI:-47 | SNR:5.75 | Count:1
Node:2 | Msg:From:1 | PTZL is working on it | count:2 | RSSI:-50 | SNR:7.75 | Count:2
Node:2 | Msg:From:1 | PTZL is working on it | count:3 | RSSI:-49 | SNR:7.00 | Count:3
Node:2 | Msg:From:1 | PTZL is working on it | count:4 | RSSI:-51 | SNR:6.75 | Count:4
Node:2 | Msg:From:1 | PTZL is working on it | count:5 | RSSI:-50 | SNR:6.75 | Count:5
Node:2 | Msg:From:1 | PTZL is working on it | count:6 | RSSI:-50 | SNR:6.50 | Count:6
Node:2 | Msg:From:1 | PTZL is working on it | count:7 | RSSI:-50 | SNR:7.50 | Count:7
Node:2 | Msg:From:1 | PTZL is working on it | count:8 | RSSI:-51 | SNR:6.25 | Count:8
Node:2 | Msg:From:1 | PTZL is working on it | count:9 | RSSI:-50 | SNR:7.75 | Count:9
Node:2 | Msg:From:1 | PTZL is working on it | count:10 | RSSI:-51 | SNR:6.75 | Count:10
Node:2 | Msg:From:1 | PTZL is working on it | count:11 | RSSI:-50 | SNR:6.50 | Count:11
Node:2 | Msg:From:1 | PTZL is working on it | count:2 | RSSI:-55 | SNR:5.75 | Count:1
Node:2 | Msg:From:1 | PTZL is working on it | count:3 | RSSI:-55 | SNR:5.75 | Count:2
Node:2 | Msg:From:1 | PTZL is working on it | count:4 | RSSI:-53 | SNR:7.00 | Count:3
Node:2 | Msg:From:1 | PTZL is working on it | count:5 | RSSI:-65 | SNR:5.75 | Count:4
Node:2 | Msg:From:1 | PTZL is working on it | count:6 | RSSI:-68 | SNR:6.25 | Count:5
Node:2 | Msg:From:1 | PTZL is working on it | count:7 | RSSI:-63 | SNR:6.50 | Count:6
Node:2 | Msg:From:1 | PTZL is working on it | count:8 | RSSI:-62 | SNR:6.00 | Count:7
Node:2 | Msg:From:1 | PTZL is working on it | count:9 | RSSI:-59 | SNR:5.00 | Count:8
Node:2 | Msg:From:1 | PTZL is working on it | count:10 | RSSI:-62 | SNR:7.00 | Count:9
Node:2 | Msg:From:1 | PTZL is working on it | count:11 | RSSI:-67 | SNR:7.00 | Count:10
Node:2 | Msg:From:1 | PTZL is working on it | count:13 | RSSI:-63 | SNR:6.75 | Count:11
Node:2 | Msg:From:1 | PTZL is working on it | count:14 | RSSI:-64 | SNR:6.25 | Count:12
Node:2 | Msg:From:1 | PTZL is working on it | count:15 | RSSI:-64 | SNR:6.75 | Count:13
Node:2 | Msg:From:1 | PTZL is working on it | count:16 | RSSI:-74 | SNR:5.25 | Count:14
Node:2 | Msg:From:1 | PTZL is working on it | count:18 | RSSI:-65 | SNR:7.00 | Count:15
Node:2 | Msg:From:1 | PTZL is working on it | count:19 | RSSI:-62 | SNR:5.75 | Count:16
Node:2 | Msg:From:1 | PTZL is working on it | count:20 | RSSI:-64 | SNR:5.50 | Count:17
Node:2 | Msg:From:1 | PTZL is working on it | count:21 | RSSI:-64 | SNR:5.25 | Count:18
Node:2 | Msg:From:1 | PTZL is working on it | count:22 | RSSI:-68 | SNR:5.75 | Count:19
Node:2 | Msg:From:1 | PTZL is working on it | count:23 | RSSI:-71 | SNR:5.50 | Count:20
Node:2 | Msg:From:1 | PTZL is working on it | count:24 | RSSI:-69 | SNR:7.00 | Count:21
Node:2 | Msg:From:1 | PTZL is working on it | count:25 | RSSI:-63 | SNR:7.00 | Count:22
Node:2 | Msg:From:1 | PTZL is working on it | count:26 | RSSI:-62 | SNR:7.25 | Count:23
Node:2 | Msg:From:1 | PTZL is working on it | count:27 | RSSI:-57 | SNR:6.25 | Count:24
Node:2 | Msg:From:1 | PTZL is working on it | count:28 | RSSI:-59 | SNR:5.75 | Count:25
Node:2 | Msg:From:1 | PTZL is working on it | count:29 | RSSI:-58 | SNR:6.25 | Count:26
Node:2 | Msg:From:1 | PTZL is working on it | count:30 | RSSI:-57 | SNR:6.75 | Count:27
