Node:3 | Msg:From:2 | PTZL is working on it | count:16 | RSSI:-46 | SNR:10.00 | Count:1
Node:3 | Msg:From:2 | PTZL is working on it | count:17 | RSSI:-42 | SNR:10.75 | Count:1
Node:3 | Msg:From:2 | PTZL is working on it | count:18 | RSSI:-44 | SNR:8.25 | Count:2
Node:3 | Msg:From:2 | PTZL is working on it | count:19 | RSSI:-30 | SNR:8.50 | Count:3
Node:3 | Msg:From:2 | PTZL is working on it | count:1 | RSSI:-30 | SNR:9.00 | Count:4
Node:3 | Msg:From:2 | PTZL is working on it | count:3 | RSSI:-30 | SNR:9.25 | Count:5
Node:3 | Msg:From:2 | PTZL is working on it | count:4 | RSSI:-30 | SNR:9.25 | Count:6
Node:3 | Msg:From:2 | PTZL is working on it | count:5 | RSSI:-30 | SNR:9.50 | Count:7
Node:3 | Msg:From:2 | PTZL is working on it | count:6 | RSSI:-30 | SNR:9.50 | Count:8
Node:3 | Msg:From:2 | PTZL is working on it | count:7 | RSSI:-30 | SNR:8.50 | Count:9
Node:3 | Msg:From:2 | PTZL is working on it | count:8 | RSSI:-30 | SNR:9.00 | Count:10
Node:3 | Msg:From:2 | PTZL is working on it | count:9 | RSSI:-30 | SNR:9.25 | Count:11
Node:3 | Msg:From:2 | PTZL is working on it | count:10 | RSSI:-30 | SNR:8.50 | Count:12
Node:3 | Msg:From:2 | PTZL is working on it | count:11 | RSSI:-30 | SNR:8.75 | Count:13
Node:3 | Msg:From:2 | PTZL is working on it | count:12 | RSSI:-30 | SNR:9.00 | Count:14
Node:3 | Msg:From:2 | PTZL is working on it | count:13 | RSSI:-30 | SNR:8.75 | Count:15
Node:3 | Msg:From:2 | PTZL is working on it | count:14 | RSSI:-28 | SNR:8.75 | Count:16
Node:3 | Msg:From:2 | PTZL is working on it | count:15 | RSSI:-30 | SNR:9.25 | Count:17
Node:3 | Msg:From:2 | PTZL is working on it | count:16 | RSSI:-30 | SNR:9.25 | Count:18
Node:3 | Msg:From:2 | PTZL is working on it | count:17 | RSSI:-30 | SNR:9.00 | Count:19
Node:3 | Msg:From:2 | PTZL is working on it | count:18 | RSSI:-31 | SNR:9.00 | Count:20
Node:3 | Msg:From:2 | PTZL is working on it | count:19 | RSSI:-31 | SNR:8.75 | Count:21
Node:3 | Msg:From:2 | PTZL is working on it | count:20 | RSSI:-30 | SNR:8.75 | Count:22
Node:3 | Msg:From:2 | PTZL is working on it | count:21 | RSSI:-30 | SNR:8.75 | Count:23
Node:3 | Msg:From:2 | PTZL is working on it | count:23 | RSSI:-30 | SNR:9.00 | Count:24
Node:3 | Msg:From:2 | PTZL is working on it | count:24 | RSSI:-30 | SNR:9.25 | Count:25
Node:3 | Msg:From:2 | PTZL is working on it | count:25 | RSSI:-30 | SNR:9.25 | Count:26
Node:3 | Msg:From:2 | PTZL is working on it | count:26 | RSSI:-30 | SNR:9.25 | Count:27
Node:3 | Msg:From:2 | PTZL is working on it | count:27 | RSSI:-30 | SNR:9.00 | Count:28
Node:3 | Msg:From:2 | PTZL is working on it | count:29 | RSSI:-30 | SNR:8.75 | Count:29
Node:3 | Msg:From:2 | PTZL is working on it | count:30 | RSSI:-31 | SNR:8.50 | Count:30
Node:3 | Msg:From:2 | PTZL is working on it | count:31 | RSSI:-30 | SNR:9.00 | Count:31
Node:3 | Msg:From:2 | PTZL is working on it | count:32 | RSSI:-30 | SNR:9.00 | Count:32
Node:3 | Msg:From:2 | PTZL is working on it | count:33 | RSSI:-30 | SNR:8.75 | Count:33
Node:3 | Msg:From:2 | PTZL is working on it | count:34 | RSSI:-30 | SNR:9.50 | Count:34
Node:3 | Msg:From:2 | PTZL is working on it | count:35 | RSSI:-30 | SNR:9.50 | Count:35
Node:3 | Msg:From:2 | PTZL is working on it | count:36 | RSSI:-30 | SNR:9.00 | Count:36
Node:3 | Msg:From:2 | PTZL is working on it | count:38 | RSSI:-30 | SNR:9.00 | Count:37
Node:3 | Msg:From:2 | PTZL is working on it | count:39 | RSSI:-31 | SNR:9.00 | Count:38
Node:3 | Msg:From:2 | PTZL is working on it | count:40 | RSSI:-31 | SNR:9.00 | Count:39
Node:3 | Msg:From:2 | PTZL is working on it | count:41 | RSSI:-29 | SNR:9.00 | Count:40
Node:3 | Msg:From:2 | PTZL is working on it | count:42 | RSSI:-31 | SNR:9.00 | Count:41
Node:3 | Msg:From:2 | PTZL is working on it | count:43 | RSSI:-30 | SNR:8.75 | Count:42
Node:3 | Msg:From:2 | PTZL is working on it | count:44 | RSSI:-30 | SNR:9.25 | Count:43
Node:3 | Msg:From:2 | PTZL is working on it | count:46 | RSSI:-30 | SNR:9.00 | Count:44
Node:3 | Msg:From:2 | PTZL is working on it | count:47 | RSSI:-30 | SNR:9.00 | Count:45
Node:3 | Msg:From:2 | PTZL is working on it | count:48 | RSSI:-30 | SNR:9.50 | Count:46
Node:3 | Msg:From:2 | PTZL is working on it | count:49 | RSSI:-30 | SNR:9.50 | Count:47
Node:3 | Msg:From:2 | PTZL is working on it | count:50 | RSSI:-30 | SNR:8.75 | Count:48
